ip_address,is_cellular_ip,ip_total_freq,ip_anonymous_c0,ip_anonymous_c1,ip_anonymous_c2
ip8352948,0,400000,52,5500,27
ip4596125,0,802,31,19,10
ip19351956,0,400000,52,3726,155
ip17464771,0,6577,47,20,17
ip14710657,0,5714,52,41,17
ip19924303,0,8568,52,23,22
ip1244536,0,624,17,13,7
ip8860399,0,68,22,34,0
ip18387504,0,1111,42,37,20
ip9845916,0,1517,27,16,14
ip9364091,0,1650,42,11,3
ip11322908,0,41,9,7,3
ip20725478,0,14196,47,951,1
ip17831794,0,1307,40,6,9
ip3267115,0,184083,52,3024,5500
ip17543354,1,39,12,19,1
ip11263976,0,932,39,25,20
ip15303666,1,1633,54,23,10
ip15353927,0,281,24,17,27
ip11716078,0,3402,52,21,4
ip15240098,0,1401,45,44,25
ip17272872,0,10393,52,14,12
ip11017611,0,632,46,20,2
ip8032138,0,984,22,9,5
ip8075443,0,1310,51,20,4
ip6572857,0,4635,52,12,16
ip19839850,1,1261,22,25,4
ip7384218,0,344,22,33,22
ip9747346,0,335,30,2,2
ip16887865,0,1463,52,14,1
ip20127926,0,751,23,22,7
ip19457848,0,847,52,220,1
ip5862460,0,15148,43,17,11
ip7170568,0,166,25,15,4
ip19767710,0,1456,50,27,11
ip7118456,0,1774,27,21,19
ip1972568,0,33459,129,40,12
ip13399193,0,206,15,11,9
ip8095310,0,3099,34,102,10
ip11780181,0,1691,65,189,6
ip4694248,0,2594,52,85,0
ip188021,0,2295,52,10,21
ip9818763,0,661,28,6,8
ip20262831,0,3207,50,95,382
ip4209478,0,10700,52,80,13
ip8402156,0,1319,48,18,17
ip15994823,0,75,13,8,7
ip4034603,0,1592,26,11,105
ip8773171,0,928,29,26,12
ip9603890,1,1626,14,15,46
ip2892209,1,10,2,2,1
ip729416,0,1100,52,16,5
ip9035155,0,625,19,8,4
ip5679221,0,236,20,12,0
ip7722157,0,3056,44,47,14
ip7279058,0,150,16,47,1
ip2268299,1,632,52,1343,1958
ip19040502,0,843,19,29,5
ip148492,0,115,15,3,6
ip7515453,0,7855,42,53,22
ip19723606,0,141535,30,5500,629
ip6464683,0,2456,52,10,3
ip1226210,0,4342,52,33,14
ip15498136,0,393,17,12,9
ip11190019,0,499,32,22,7
ip1612989,0,6389,44,41,24
ip5318476,1,400000,52,5500,5500
ip5082000,0,19755,52,42,20
ip11496678,0,2434,52,22,17
ip4915454,1,133210,52,3584,2078
ip18560788,0,531,36,39,30
ip7528071,0,3051,31,27,17
ip10948770,0,413,25,5,8
ip12973263,0,5671,52,91,256
ip8171575,0,443,20,11,9
ip13423690,0,15260,44,333,10
ip214611,0,14852,52,36,7
ip14186562,0,468,40,38,0
ip3883949,0,4377,46,38,8
ip20928778,0,1113,37,79,13
ip19557047,0,370,31,11,0
ip15080814,0,303,29,24,14
ip6187234,0,616,20,19,7
ip2888215,0,562,34,22,6
ip15759138,1,78372,52,1156,1773
ip18144007,0,332,33,10,4
ip565568,0,476,39,11,2
ip3152155,1,4,2,1,0
ip1349713,0,4518,37,43,15
ip19266010,0,1514,31,12,5
ip2041206,0,2156,52,9,5
ip2179705,0,1067,52,111,8
ip8300073,0,7867,52,78,5
ip20704023,0,400000,52,545,85
ip7646583,0,18510,52,1524,22
ip10421874,0,944,6,6,7
ip1693253,0,340,24,68,6
ip19932427,0,820,48,22,8
ip1310985,0,1044,23,6,2
